waveform,waveform_id,length,num_channels,timepoints,samples
waveforms/mimic4wdb/0.1.0/waves/p100/p10079700/85594648/85594648,85594648,214981,6,255177600,199126720
waveforms/mimic4wdb/0.1.0/waves/p105/p10560354/81105139/81105139,81105139,20279,3,8868160,8866560
waveforms/mimic4wdb/0.1.0/waves/p115/p11596691/86130599/86130599,86130599,172702,5,161836800,160764160
waveforms/mimic4wdb/0.1.0/waves/p136/p13620446/83988903/83988903,83988903,113279,6,134459200,106108032
waveforms/mimic4wdb/0.1.0/waves/p159/p15920699/84421559/84421559,84421559,70350,10,127452911,82009168
waveforms/mimic4wdb/0.1.0/waves/p169/p16955095/82284982/82284982,82284982,604,5,566400,562240
waveforms/mimic4wdb/0.1.0/waves/p178/p17802132/86917206/86917206,86917206,9650,5,9043200,8679040
waveforms/mimic4wdb/0.1.0/waves/p184/p18466737/89821554/89821554,89821554,23952,5,22444800,22440640
waveforms/mimic4wdb/0.1.0/waves/p192/p19290410/81362381/81362381,81362381,123759,5,115972800,46388160
waveforms/mimic4wdb/0.1.0/waves/p197/p19772551/83530581/83530581,83530581,89337,6,106041280,106041280
waveforms/mimic3wdb/1.0/36/3654093/3654093,3654093,363240,6,272430000,77793875
waveforms/mimic3wdb/1.0/30/3033467/3033467,3033467,39540,3,14827500,14786000
waveforms/mimic3wdb/1.0/33/3314171/3314171,3314171,101036,3,37888500,20224625
waveforms/mimic3wdb/1.0/37/3716433/3716433,3716433,198300,6,148725000,50687375
waveforms/mimic3wdb/1.0/35/3589404/3589404,3589404,91200,2,22800000,22788000
waveforms/mimic3wdb/1.0/31/3115020/3115020,3115020,113399,2,28349750,24644500
waveforms/mimic3wdb/1.0/32/3279834/3279834,3279834,326520,6,244890000,84988625
waveforms/mimic3wdb/1.0/33/3344184/3344184,3344184,23040,1,2880000,2874000
waveforms/mimic3wdb/1.0/37/3740336/3740336,3740336,13080,3,4905000,4887375
waveforms/mimic3wdb/1.0/36/3663448/3663448,3663448,127500,2,31875000,15926375
waveforms/charisdb/1.0.0/charis1,charis1,244797,3,36719553,36719553
waveforms/charisdb/1.0.0/charis3,charis3,341904,3,51285672,51285672
waveforms/charisdb/1.0.0/charis4,charis4,144000,3,21599997,21599997
waveforms/charisdb/1.0.0/charis5,charis5,719994,3,107999165,107999165
waveforms/charisdb/1.0.0/charis7,charis7,483615,3,72542202,72542202
waveforms/charisdb/1.0.0/charis8,charis8,343399,3,51509871,51509871
waveforms/charisdb/1.0.0/charis9,charis9,615600,3,92339937,92339937
waveforms/charisdb/1.0.0/charis10,charis10,425575,3,63836319,63836319
waveforms/charisdb/1.0.0/charis11,charis11,346568,3,51985170,51985170
waveforms/charisdb/1.0.0/charis12,charis12,410903,3,61635398,61635398
waveforms/challenge-2018/1.0.0/training/tr03-0079/tr03-0079,tr03-0079,26815,13,69719000,69719000
waveforms/challenge-2018/1.0.0/training/tr03-0146/tr03-0146,tr03-0146,27895,13,72527000,72527000
waveforms/challenge-2018/1.0.0/training/tr05-1675/tr05-1675,tr05-1675,30460,13,79196000,79196000
waveforms/challenge-2018/1.0.0/training/tr06-0107/tr06-0107,tr06-0107,24355,13,63323000,63323000
waveforms/challenge-2018/1.0.0/training/tr08-0351/tr08-0351,tr08-0351,28812,13,74911200,74911200
waveforms/challenge-2018/1.0.0/training/tr09-0593/tr09-0593,tr09-0593,29292,13,76159200,76159200
waveforms/challenge-2018/1.0.0/training/tr10-0423/tr10-0423,tr10-0423,29408,13,76460800,76460800
waveforms/challenge-2018/1.0.0/training/tr11-0042/tr11-0042,tr11-0042,29296,13,76169600,76169600
waveforms/challenge-2018/1.0.0/training/tr12-0185/tr12-0185,tr12-0185,26692,13,69399200,69399200
waveforms/challenge-2018/1.0.0/training/tr14-0272/tr14-0272,tr14-0272,30152,13,78395200,78395200
waveforms/GE_WFDB/A004-0502133511/A004-0502133511,A004-0502133511,436270,8,837638400,818860800
waveforms/GE_WFDB/A004-0502569551/A004-0502569551,A004-0502569551,23528,7,39527040,39527040
waveforms/GE_WFDB/A004-0502765334/A004-0502765334,A004-0502765334,143832,6,207118080,207118080
waveforms/GE_WFDB/A004-0500372071/A004-0500372071,A004-0500372071,202020,9,436363200,436363200
waveforms/GE_WFDB/A004-0500588750/A004-0500588750,A004-0500588750,341914,7,574415520,515346720
waveforms/GE_WFDB/A004-0503168997/A004-0503168997,A004-0503168997,514372,7,864144960,822672960
waveforms/GE_WFDB/A004-0502617045/A004-0502617045,A004-0502617045,132450,6,190728000,190728000
waveforms/GE_WFDB/A004-0500184533/A004-0500184533,A004-0500184533,73982,6,106534080,101782080
waveforms/GE_WFDB/A004-0502940243/A004-0502940243,A004-0502940243,156130,7,262298400,262298400
waveforms/GE_WFDB/A004-0502604815/A004-0502604815,A004-0502604815,578,6,832320,832320
